learning_rate,train_F1,test_F1
0.607,0.9497383859204059,0.9570707070707071
0.608,0.9490880253766851,0.9563567362428842
0.609,0.9489375198223914,0.9570164348925411
0.61,0.9511421319796954,0.9570707070707071
0.611,0.9494212779451403,0.957124842370744
0.612,0.9476854787571338,0.9557522123893806
0.613,0.9508248730964467,0.9577287066246056
0.614,0.9475019825535289,0.9556962025316456
0.615,0.9493029150823827,0.9570164348925411
0.616,0.9498094027954257,0.9576217583807717
0.617,0.9462331482950039,0.9558080808080808
0.618,0.9500237981913374,0.9564118761844599
0.619,0.9475019825535289,0.9557522123893806
0.62,0.9532145130490134,0.9575142675967026
0.621,0.9522748965956093,0.9569074778200254
0.622,0.952577975811585,0.9568527918781726
0.623,0.9511690790520121,0.9569074778200254
0.624,0.9522748965956093,0.9575142675967026
0.625,0.9468017732742242,0.9546599496221663
0.626,0.9492168960607499,0.9576753000631711
0.627,0.9458816060942707,0.9514807813484563
0.628,0.9496265692038773,0.9570164348925411
0.629,0.9476182940338661,0.9565217391304348
0.63,0.9525930639516386,0.9568527918781726
0.631,0.9462672372800761,0.9539432176656152
0.632,0.9496105547607694,0.9576217583807717
0.633,0.9496105547607694,0.9570164348925411
0.634,0.9477682811016145,0.9558638083228247
0.635,0.9466011725558549,0.9558638083228247
0.636,0.948134092346616,0.9559193954659949
0.637,0.9497064889735046,0.9577287066246056
0.638,0.9532293986636972,0.9586776859504132
0.639,0.9556509298998569,0.9588347055098163
0.64,0.9529112313076679,0.9581749049429658
0.641,0.9484536082474226,0.9570164348925411
0.642,0.9532293986636972,0.9586776859504132
0.643,0.9536889172788247,0.9611712285168682
0.644,0.9490071485305799,0.9577287066246056
0.645,0.9462195507750711,0.9559748427672956
0.646,0.9452294014923004,0.9507575757575758
0.647,0.9453794855509685,0.9508816120906801
0.648,0.950929013816103,0.9570164348925411
0.649,0.950174547762615,0.9570707070707071
0.65,0.9483687044662654,0.9558080808080808
