K,train_F1,test_F1
109,0.9765587625578058,0.9763880025526483
110,0.9765512840963471,0.9763880025526483
111,0.9767219387755102,0.9763880025526483
112,0.9762322539479981,0.9763880025526483
113,0.9765587625578058,0.9763880025526483
114,0.9765512840963471,0.9763880025526483
115,0.9767145135566189,0.9763880025526483
116,0.976380466007022,0.9763880025526483
117,0.9765512840963471,0.9763880025526483
118,0.976380466007022,0.9763880025526483
119,0.976380466007022,0.9763880025526483
120,0.9762094842727127,0.9770114942528736
121,0.9763729246487867,0.9770114942528736
122,0.9699029126213592,0.9735994848679974
123,0.9700695680310629,0.9742599742599742
124,0.9703835572099045,0.973565441650548
125,0.9703835572099045,0.973565441650548
126,0.9703547707759598,0.9729032258064516
127,0.9703547707759598,0.973565441650548
128,0.9704832954914044,0.9748224661071659
129,0.9706502351224258,0.9741935483870968
130,0.9706407137064071,0.9741602067183462
131,0.9706407137064071,0.9741602067183462
132,0.9706407137064071,0.9741602067183462
133,0.9706407137064071,0.9741602067183462
134,0.9706407137064071,0.9741602067183462
135,0.9706407137064071,0.9741602067183462
136,0.9706407137064071,0.9741602067183462
137,0.9706407137064071,0.9741602067183462
138,0.9704737183646982,0.9741267787839586
139,0.9704737183646982,0.9741267787839586
140,0.9703066688301152,0.9741267787839586
141,0.9703066688301152,0.97349709114415
142,0.9703066688301152,0.97349709114415
143,0.9703066688301152,0.97349709114415
144,0.9699724070767732,0.9728331177231565
145,0.9699724070767732,0.9722042663219134
146,0.9693032320935521,0.9715394566623544
147,0.9694706073400454,0.9715394566623544
148,0.9689683184402924,0.9715394566623544
149,0.9639683309096785,0.9665379665379665
150,0.963956683368353,0.9665379665379665
